INSTID,UKPRN,"Region 
of provider",HE provider ,"Unit of 
assessment number",Unit of assessment name,"Multiple 
submission letter","Scaled FTE 
of eligible staff"
47,10000291,EAST,Anglia Ruskin University,1,Clinical Medicine,Z,2
47,10000291,EAST,Anglia Ruskin University,2,"Public Health, Health Services and Primary Care",Z,21
47,10000291,EAST,Anglia Ruskin University,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,122
47,10000291,EAST,Anglia Ruskin University,4,"Psychology, Psychiatry and Neuroscience",Z,24
47,10000291,EAST,Anglia Ruskin University,5,Biological Sciences,Z,27
47,10000291,EAST,Anglia Ruskin University,6,"Agriculture, Veterinary and Food Science",Z,3
47,10000291,EAST,Anglia Ruskin University,7,Earth Systems and Environmental Sciences,Z,1
47,10000291,EAST,Anglia Ruskin University,8,Chemistry,Z,2
47,10000291,EAST,Anglia Ruskin University,10,Mathematical Sciences,Z,1
47,10000291,EAST,Anglia Ruskin University,11,Computer Science and Informatics,Z,18
47,10000291,EAST,Anglia Ruskin University,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,1
47,10000291,EAST,Anglia Ruskin University,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,10
47,10000291,EAST,Anglia Ruskin University,14,Civil and Construction engineering,Z,8
47,10000291,EAST,Anglia Ruskin University,15,General Engineering,Z,10
47,10000291,EAST,Anglia Ruskin University,16,"Architecture, Built Environment and Planning",Z,23
47,10000291,EAST,Anglia Ruskin University,17,"Geography, Environmental Studies and Archaeology",Z,19
47,10000291,EAST,Anglia Ruskin University,18,Economics and Econometrics,Z,4
47,10000291,EAST,Anglia Ruskin University,19,Business and Management Studies,Z,89
47,10000291,EAST,Anglia Ruskin University,20,Law,Z,21
47,10000291,EAST,Anglia Ruskin University,21,Politics and International Studies,Z,1
47,10000291,EAST,Anglia Ruskin University,22,Social Work and Social Policy,Z,37
47,10000291,EAST,Anglia Ruskin University,23,Sociology,Z,10
47,10000291,EAST,Anglia Ruskin University,25,Education,Z,54
47,10000291,EAST,Anglia Ruskin University,26,"Sport and Exercise Sciences, Leisure and Tourism",Z,16
47,10000291,EAST,Anglia Ruskin University,28,Modern Languages and Linguistics,Z,6
47,10000291,EAST,Anglia Ruskin University,29,English Language and Literature,Z,21
47,10000291,EAST,Anglia Ruskin University,30,History,Z,6
47,10000291,EAST,Anglia Ruskin University,32,Philosophy,Z,4
47,10000291,EAST,Anglia Ruskin University,33,Theology and Religious Studies,Z,1
47,10000291,EAST,Anglia Ruskin University,34,"Art and Design: History, Practice and Theory",Z,30
47,10000291,EAST,Anglia Ruskin University,35,"Music, Drama, Dance and Performing Arts",Z,19
47,10000291,EAST,Anglia Ruskin University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,9
108,10007759,WMID,Aston University†,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,89
108,10007759,WMID,Aston University†,11,Computer Science and Informatics,Z,26
108,10007759,WMID,Aston University†,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,32
108,10007759,WMID,Aston University†,15,General Engineering,Z,39
108,10007759,WMID,Aston University†,19,Business and Management Studies,Z,108
108,10007759,WMID,Aston University†,23,Sociology,Z,7
108,10007759,WMID,Aston University†,27,Area Studies,Z,14
108,10007759,WMID,Aston University†,28,Modern Languages and Linguistics,Z,29
108,10007759,WMID,Aston University†,N/A,UoA not recorded,Not recorded,115
48,10000571,SWES,Bath Spa University,4,"Psychology, Psychiatry and Neuroscience",Z,14
48,10000571,SWES,Bath Spa University,5,Biological Sciences,Z,8
48,10000571,SWES,Bath Spa University,17,"Geography, Environmental Studies and Archaeology",Z,11
48,10000571,SWES,Bath Spa University,19,Business and Management Studies,Z,16
48,10000571,SWES,Bath Spa University,23,Sociology,Z,4
48,10000571,SWES,Bath Spa University,25,Education,Z,61
48,10000571,SWES,Bath Spa University,29,English Language and Literature,Z,29
48,10000571,SWES,Bath Spa University,30,History,Z,10
48,10000571,SWES,Bath Spa University,33,Theology and Religious Studies,Z,3
48,10000571,SWES,Bath Spa University,34,"Art and Design: History, Practice and Theory",Z,35
48,10000571,SWES,Bath Spa University,35,"Music, Drama, Dance and Performing Arts",Z,41
48,10000571,SWES,Bath Spa University,36,"Communication, Cultural and Media Studies, Library and Information Management",Z,16
109,10007850,SWES,The University of Bath,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Z,62
109,10007850,SWES,The University of Bath,4,"Psychology, Psychiatry and Neuroscience",Z,13
109,10007850,SWES,The University of Bath,5,Biological Sciences,Z,34
109,10007850,SWES,The University of Bath,8,Chemistry,Z,38
109,10007850,SWES,The University of Bath,9,Physics,Z,27
109,10007850,SWES,The University of Bath,10,Mathematical Sciences,Z,58
109,10007850,SWES,The University of Bath,11,Computer Science and Informatics,Z,25
109,10007850,SWES,The University of Bath,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Z,69
109,10007850,SWES,The University of Bath,13,"Electrical and Electronic Engineering, Metallurgy and Materials",Z,28
109,10007850,SWES,The University of Bath,16,"Architecture, Built Environment and Planning",Z,34
109,10007850,SWES,The University of Bath,18,Economics and Econometrics,Z,25
109,10007850,SWES,The University of Bath,19,Business and Management Studies,Z,86
109,10007850,SWES,The University of Bath,22,Social Work and Social Policy,Z,47
