DocumentID,Institution name,Institution code (UKPRN),Main panel,URL,UoAValue,UoAString,4*,3*,2*,1*,unclassified,WordCount,TextUsed,IncludedInTopicModel,ResearchRank,ReasonForRemoval,food-environmental-science,art-media-research,study-english-literature,physics-group-facility,design-environment-project,mathematics-group-mathematical,law-school-international,study-language-linguistics,environmental-nerc-geography,social-research-work,archaeology-project-anthropology,wale-welsh-cardiff,engineering-technology-system,research-department-student,biology-cell-science,philosophy-project-ethic,research-staff-support,university-research-international,research-staff-university,chemistry-material-epsrc,system-computer-science,psychology-neuroscience-cognitive,economics-economic-lse,management-business-school,scottish-scotland-edinburgh,health-research-care,sport-exercise-science,clinical-cancer-research,history-study-project,music-performance-theatre
10007822-6-,Cranfield University,10007822,A,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007822-6-.pdf,6," Agriculture, Veterinary and Food Science",50,50,0,0,0,3286,,TRUE,N/A,,0.439519852,0,0,0,0,0,0,0,0.031702062,0.00307787,0,0,0.044013543,0.024930748,0,0,0.275469375,0.024007387,0.156355802,9.23E-04,0,0,0,0,0,0,0,0,0,0
10003270-5-,Imperial College London,10003270,A,http://strategicfutures.org/demos/REF2014/resources/pdfs/10003270-5-.pdf,5, Biological Sciences,100,0,0,0,0,6024,,TRUE,1,,0.051321398,0,0,0,0.001193521,0,0,0,0.001193521,0,0,0,0.008525149,0.202046036,0.324467178,0,0.301960784,0.031713555,0.007502131,0.043137255,0.009207161,0,0,1.71E-04,0,0.001364024,0,0.016197783,0,0
10003270-4-,Imperial College London,10003270,A,http://strategicfutures.org/demos/REF2014/resources/pdfs/10003270-4-.pdf,4," Psychology, Psychiatry and Neuroscience",75,25,0,0,0,4155,,TRUE,1,,0,0.005933251,0,0,0,0,0,0,0,2.47E-04,0,0,0,0.091223733,0,0,0.280346106,0.007663782,0.001236094,4.94E-04,2.47E-04,0.135475896,0,0,0,0.009147095,0,0.462546354,0,0.005438813
10003270-2-,Imperial College London,10003270,A,http://strategicfutures.org/demos/REF2014/resources/pdfs/10003270-2-.pdf,2," Public Health, Health Services and Primary Care",100,0,0,0,0,4986,,TRUE,1,,0.012018741,0,0,0,0,0.007944592,0,0,0,0.007537177,0,0,0,0.047667549,0.004685272,0,0.2752088,0.014666938,0.057038093,0,0.005500102,0,0,0,0,0.157262172,0,0.410470564,0,0
10003270-1-,Imperial College London,10003270,A,http://strategicfutures.org/demos/REF2014/resources/pdfs/10003270-1-.pdf,1, Clinical Medicine,75,25,0,0,0,11032,,TRUE,1,,3.73E-04,9.33E-05,0,0,0,0,0,0,0.003079507,0,0,0,3.73E-04,0.03387458,0.009798432,0,0.218831654,0.018010452,0.001866368,0.005319149,0.013251213,0,0,0.008118701,0,0.023329601,0.001866368,0.661627473,1.87E-04,0
10003324-1-,Institute of Cancer Research,10003324,A,http://strategicfutures.org/demos/REF2014/resources/pdfs/10003324-1-.pdf,1, Clinical Medicine,62.5,37.5,0,0,0,4466,,TRUE,N/A,,0.003483511,0.001625639,0,0,2.32E-04,0,0,0,0,0,0,0.00116117,4.64E-04,0.074314909,0.019739898,0,0.221551324,0,0.09591268,0,0.007895959,0,0,0,0,0,4.64E-04,0.573153739,0,0
10003324-5-,Institute of Cancer Research,10003324,A,http://strategicfutures.org/demos/REF2014/resources/pdfs/10003324-5-.pdf,5, Biological Sciences,75,25,0,0,0,3409,,TRUE,N/A,,6.05E-04,0,0,0,0,0,0,0,0,0,0,0,0,0.051739788,0.183055976,0,0.255673222,9.08E-04,0.076248109,0.033282905,0,0,0,0,0,0,0,0.397579425,9.08E-04,0
10003958-1-,Liverpool School of Tropical Medicine,10003958,A,http://strategicfutures.org/demos/REF2014/resources/pdfs/10003958-1-.pdf,1, Clinical Medicine,50,50,0,0,0,6640,,TRUE,N/A,,0,0,0,0,0,0,0,0,0,0,0,0,0.002011761,0.03095017,0.074744661,0,0.294026617,0,0.064840607,0,0,4.64E-04,0,0,0,0.030795419,0,0.501392758,7.74E-04,0
10003958-2-,Liverpool School of Tropical Medicine,10003958,A,http://strategicfutures.org/demos/REF2014/resources/pdfs/10003958-2-.pdf,2," Public Health, Health Services and Primary Care",12.5,62.5,25,0,0,3852,,TRUE,N/A,,0,2.67E-04,0,0,0,0,0,0,0,0,0,0,0.002135041,0.054710435,0,0,0.339738457,0.001067521,0.144115292,0,2.67E-04,0,0,2.67E-04,0,0.457432613,0,0,0,0
10007771-1-,London School of Hygiene & Tropical Medicine,10007771,A,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007771-1-.pdf,1, Clinical Medicine,50,50,0,0,0,4196,,TRUE,N/A,,0.002180233,0,0,0,0,0,0,0,0,4.84E-04,0,0,0,0.086482558,0.210271318,0,0.281492248,2.42E-04,0.111676357,0,0,0,0,0,0,0.10247093,0,0.204699612,0,0
